CustomerID,Lookalikes
C0001,"[('C0137', 0.9957), ('C0107', 0.988), ('C0152', 0.9832)]"
C0002,"[('C0088', 0.9919), ('C0142', 0.9753), ('C0043', 0.9651)]"
C0003,"[('C0190', 0.9773), ('C0001', 0.9641), ('C0133', 0.9573)]"
C0004,"[('C0113', 0.9872), ('C0102', 0.9674), ('C0165', 0.9664)]"
C0005,"[('C0159', 0.9959), ('C0123', 0.9814), ('C0146', 0.9793)]"
C0006,"[('C0168', 0.9717), ('C0187', 0.9675), ('C0171', 0.9574)]"
C0007,"[('C0140', 0.9745), ('C0092', 0.9394), ('C0080', 0.9384)]"
C0008,"[('C0034', 0.9435), ('C0024', 0.9107), ('C0194', 0.9072)]"
C0009,"[('C0014', 0.9957), ('C0119', 0.985), ('C0060', 0.9838)]"
C0010,"[('C0019', 0.9863), ('C0172', 0.9801), ('C0199', 0.9708)]"
C0011,"[('C0107', 0.9938), ('C0048', 0.9935), ('C0001', 0.9725)]"
C0012,"[('C0155', 0.9882), ('C0102', 0.9843), ('C0169', 0.9826)]"
C0013,"[('C0099', 0.9841), ('C0163', 0.9837), ('C0104', 0.9831)]"
C0014,"[('C0009', 0.9957), ('C0198', 0.9861), ('C0060', 0.9773)]"
C0015,"[('C0131', 0.9759), ('C0058', 0.971), ('C0144', 0.9706)]"
C0016,"[('C0183', 0.988), ('C0125', 0.9707), ('C0026', 0.9616)]"
C0017,"[('C0124', 0.9887), ('C0075', 0.9491), ('C0057', 0.9043)]"
C0018,"[('C0046', 0.9512), ('C0122', 0.9211), ('C0059', 0.9121)]"
C0019,"[('C0172', 0.9979), ('C0010', 0.9863), ('C0199', 0.9654)]"
C0020,"[('C0042', 0.9522), ('C0144', 0.8935), ('C0131', 0.8925)]"
